result_0,idxs_0,citations_0,class_0,result_1,idxs_1,citations_1,class_1,result_2,idxs_2,citations_2,class_2,id,enhanced,top_reason,top_order
"Anti-EGFR rechallenge therapy, including panitumumab, exerts antitumor activity in RAS/BRAF wild-type metastatic colorectal cancer patients.",[7],['RAS/BRAF wt mCRC were included in this analysis. Here we provide evidence based on the largest data set available that anti-EGFR rechallenge therapy exerts antitumor activity.'],"{""fieldresult"":[{""name"":""Panitumumab effectiveness"",""value"":""Anti-EGFR rechallenge therapy, including panitumumab, exerts antitumor activity in RAS/BRAF wild-type metastatic colorectal cancer patients."",""source_id"":[7]}]}",clinical trial,[2],['The CRICKET study was a single-group phase 2 trial that investigated rechallenge with cetuximab plus irinotecan as third-line treatment in patients with RAS/BRAF wt mCRC. The study provided the first prospective evidence of rechallenge therapy in'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[2]}]}","57 patients received cetuximab, 56 patients received panitumumab, and 1 patient received both drugs",[0],"['was balanced in the study population; 57 patients (50.0%) received cetuximab, 56 patients (49.0%) received panitumumab, and 1 patient (0.9%) received both drugs.']","{""fieldresult"":[{""name"":""Num participants"",""value"":""57 patients received cetuximab, 56 patients received panitumumab, and 1 patient received both drugs"",""source_id"":[0]}]}",38592721,"{""enhanced_ver"":""Anti-EGFR rechallenge therapy, including panitumumab, exerts antitumor activity in RAS/BRAF wild-type metastatic colorectal cancer patients (clinical trial; 56 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly states the observed antitumor activity."",""The sentence is specifically about the effectiveness of panitumumab on colorectal cancer, not another condition."",""The sentence is specific enough for experts, mentioning the study type and number of patients."",""The sentence offers actionable insights for oncologists regarding rechallenge therapy in RAS/BRAF wild-type mCRC."",""The study is a clinical trial with more than one patient, which is level 1.""]}",,999
Panitumumab monotherapy showed an objective response rate of 17% and a median progression-free survival of 3.7 months in patients with WT KRAS tumors.,[5],"['efficacy of cetuximab and panitumumab monotherapy as second and subsequent lines of treatment in patients with WT KRAS tumors. These trials reported an objective response rate (ORR) of 12.8% and 17%, a median progression-free survival (mPFS) of 3.7 months']","{""fieldresult"":[{""name"":""Panitumumab effectiveness"",""value"":""Panitumumab monotherapy showed an objective response rate of 17% and a median progression-free survival of 3.7 months in patients with WT KRAS tumors."",""source_id"":[5]}]}",in vitro and in vivo studies,"[0, 1, 2]","['therapy in CRC. In vitro and in vivo studies generally include the generation of resistant cells to anti-EGFR therapy by a long-time exposure of cetuximab or panitumumab sensitive cells, followed by molecular characterization of the resistant cells', 'setting, several preclinical studies have been conducted in the last decades to characterize the molecular drivers of acquired resistance to anti-EGFR therapy in CRC. In vitro and in vivo studies generally include the generation of resistant cells to', 'With the goal of finding the best treatment strategies to circumvent or prevent the emergence of acquired resistance to anti-EGFR therapy in the clinical setting, several preclinical studies have been conducted in the last decades to characterize the']","{""fieldresult"":[{""name"":""Type of study"",""value"":""in vitro and in vivo studies"",""source_id"":[0,1,2]}]}",62 patients with chemo-refractory tissue RAS WT mCRC,[2],['as TAS102) vs. trifluridine-tipiracil alone as control arm. The study included 62 patients with chemo-refractory tissue RAS WT mCRC and was positive in favor of the rechallenge strategy (mPFS4 and 2.5Â\xa0months in panitumumab + trifluridine-tipiracil vs.'],"{""fieldresult"":[{""name"":""Num participants"",""value"":""62 patients with chemo-refractory tissue RAS WT mCRC"",""source_id"":[2]}]}",38711991,"{""enhanced_ver"":""Panitumumab monotherapy showed an objective response rate of 17% and a median progression-free survival of 3.7 months in patients with WT KRAS tumors (in vitro and in vivo studies; 62 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly reports the observed effectiveness."",""The sentence is specifically about the effectiveness of Panitumumab on Colorectal cancer in patients with WT KRAS tumors."",""The sentence is specific enough for experts, including details on response rate and progression-free survival."",""The sentence provides actionable insights for oncologists regarding Panitumumab's efficacy in WT KRAS CRC, even though it is preclinical."",""The study type is in vitro and in vivo, which corresponds to priority level 3.""]}",,999
PR was achieved after approximately six months of treatment with mFOLFOX6 + Pmab therapy.,[7],"['The patient, a woman in her 70s, had stage IV sigmoid colon cancer and underwent mFOLFOX6 + Pmab therapy as the primary treatment. After approximately six months of treatment, PR was achieved, and the primary tumor and liver metastases were resected.']","{""fieldresult"":[{""name"":""Panitumumab effectiveness"",""value"":""PR was achieved after approximately six months of treatment with mFOLFOX6 + Pmab therapy."",""source_id"":[7]}]}",Clinical trial,"[2, 4, 9]","['Three cases are presented here. The backgrounds and the treatment results of the three patients are summarized in Table 1. In all three cases, a partial response (PR) was achieved at the time of initial introduction. Upon reintroduction, the same regimen', 'In this report, we describe three cases of patients who were re-administered an anti-epidermal growth factor receptor (anti-EGFR) antibody, a molecular target drug, and in whom the onset of side effects occurred earlier and more strongly after', '(PR) was achieved at the time of initial introduction. Upon reintroduction, the same regimen was used in Cases 1 and 3 as at the time of initial administration. In Case 2, Pmab monotherapy was selected due to L-OHP allergy and poor general condition. Side']","{""fieldresult"":[{""name"":""Type of study"",""value"":""Clinical trial"",""source_id"":[2,4,9]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",40755575,"{""enhanced_ver"":""PR was achieved after approximately six months of treatment with mFOLFOX6 + Pmab therapy (Clinical trial; 3 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on the lack of effectiveness; it describes an observed outcome."",""The sentence is about the effectiveness of Panitumumab on Colorectal cancer."",""The sentence is specific enough for experts, including the treatment duration and regimen."",""The sentence provides actionable insights for oncologists regarding treatment response and re-administration."",""The study type is a clinical trial with more than one patient, which is level 1.""]}",,999
Panitumumab is used in the treatment of metastatic colorectal cancer alone or in combination with chemotherapy.,"[1, 2, 4]","['Panitumumab is a human immunoglobulin monoclonal antibody designed to target the epidermal growth factor receptor (EGFR) which is used in the treatment of metastatic colorectal cancer alone or in combination with chemotherapy. In this report, we present a', 'Panitumumab is a human immunoglobulin monoclonal antibody designed to target the epidermal growth factor receptor (EGFR) which is used in the treatment of metastatic colorectal cancer alone or in combination with chemotherapy. Notable side effects', 'colorectal cancer alone or in combination with chemotherapy. In this report, we present a case of new onset heart failure with reduced ejection fraction in a patient following panitumumab therapy. A 73-year-old gentleman with metastatic rectal']","{""fieldresult"":[{""name"":""Panitumumab effectiveness"",""value"":""Panitumumab is used in the treatment of metastatic colorectal cancer alone or in combination with chemotherapy."",""source_id"":[1,2,4]}]}",clinical trial,"[0, 4, 9]","['This case study is novel in that it demonstrates that panitumumab may cause left ventricular systolic dysfunction and we have used multimodal imaging to determine the phenotype of cardiomyopathy which is characterised by mid wall fibrosis and absence of', 'To our knowledge, this is the first reported case of heart failure with reduced ejection fraction linked to panitumumab with subsequent deep phenotyping. The current guidelines do not recommend specific cardiovascular monitoring protocols for patients', 'Panitumumab was stopped following the diagnosis of heart failure and was never resumed. On his last clinical review, the patient was asymptomatic on a cardiac perspective with the maximally tolerated prognostic heart failure medications.']","{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[0,4,9]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",38605419,"{""enhanced_ver"":""Panitumumab is used in the treatment of metastatic colorectal cancer alone or in combination with chemotherapy (clinical trial; 1 patient)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""2""],""rationale"":[""The sentence does not describe the effectiveness of Panitumumab in the text, but rather its use."",""The sentence is specifically about the effectiveness of Panitumumab on colorectal cancer."",""The sentence is specific enough for experts, mentioning the study type and number of patients."",""The sentence offers actionable insight for oncologists regarding a rare cardiac side effect associated with Panitumumab."",""The study type is a case report, which is classified as level 2.""]}",,999
"Panitumumab (Pmab) is associated with a higher incidence and severity of hypomagnesemia compared to cetuximab, necessitating appropriate monitoring and management strategies.",[2],"['PURPOSE: Panitumumab (Pmab) is associated with a higher incidence and severity of hypomagnesemia compared to cetuximab, necessitating appropriate monitoring and management strategies. This study aimed to evaluate the efficacy of protocol-based magnesium']","{""fieldresult"":[{""name"":""Panitumumab effectiveness"",""value"":""Panitumumab (Pmab) is associated with a higher incidence and severity of hypomagnesemia compared to cetuximab, necessitating appropriate monitoring and management strategies."",""source_id"":[2]}]}",retrospective study,[1],['and management strategies. This study aimed to evaluate the efficacy of protocol-based magnesium (Mg) supplementation for treating hypomagnesemia in patients with advanced or recurrent colorectal cancer receiving Pmab. METHODS: In this retrospective'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""retrospective study"",""source_id"":[1]}]}",60 patients with colorectal cancer treated with Panitumumab,[0],"['with advanced or recurrent colorectal cancer receiving Pmab. METHODS: In this retrospective study, patients with colorectal cancer treated with Pmab between October 2010 and September 2023 were divided into two groups: the pre-protocol group (nâ\x80\x89=â\x80\x8930)']","{""fieldresult"":[{""name"":""Num participants"",""value"":""60 patients with colorectal cancer treated with Panitumumab"",""source_id"":[0]}]}",40366467,"{""enhanced_ver"":""Panitumumab (Pmab) is associated with a higher incidence and severity of hypomagnesemia compared to cetuximab, necessitating appropriate monitoring and management strategies (retrospective study; 60 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""2""],""rationale"":[""The sentence does not comment on the lack of effectiveness description; it describes an observed adverse effect."",""The sentence is about the effectiveness of Panitumumab on Colorectal cancer, specifically in terms of adverse effects."",""The sentence is specific enough for experts, mentioning the study type and number of patients."",""The sentence offers actionable insights for oncologists regarding monitoring and management of hypomagnesemia."",""The study type is a retrospective study, which is classified as level 2.""]}",,999
Panitumumab combined with sotorasib showed an overall response rate of 55% in previously treated KRAS G12C mutated metastatic CRC with a reasonable safety profile.,"[0, 6]","['960 mg daily with panitumumab 6 mg every other week was further combined with standard-dose FOLFIRI every two weeks in a subprotocol of CodeBreaK 101. Forty-six patients with previously treated KRAS G12C mutated metastatic CRC demonstrated ORR of 55% with', 'patients with previously treated KRAS G12C mutated metastatic CRC demonstrated ORR of 55% with a reasonable safety profile.']","{""fieldresult"":[{""name"":""Panitumumab effectiveness"",""value"":""Panitumumab combined with sotorasib showed an overall response rate of 55% in previously treated KRAS G12C mutated metastatic CRC with a reasonable safety profile."",""source_id"":[0,6]}]}",clinical trial,"[4, 5, 9]","['adverse events with grade 3 or higher happened in 27% of patients with dermatologic events most common, which suggests an acceptable safety profile of the regimen. The same regimen was investigated in a phase III trial (CodeBreaK 300) for 53 patients with', 'was 7.6 months. Grade 3â\x80\x934 TRAEs were observed in 12.5%. Moreover, a preliminary report of the phase I trial to combine standard dose cetuximab with another oral, potent, highly selective KRAS G12C inhibitor, LY3537982, was recently reported. In this', 'They also showed reasonable safety of the combination regimen. Based on these results, phase III clinical trials are being conducted to investigate EGFR and KRAS G12C inhibitor combinations as a first or second-line treatment for KRAS G12C mutated']","{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[4,5,9]}]}",40 patients with chemotherapy-refractory KRAS G12C mutated metastatic CRC were given panitumumab.,[0],"['In a dose-expansion cohort of CodeBreaK 101 sub-cohort, 40 patients with chemotherapy-refractory KRAS G12C mutated metastatic CRC were given panitumumab 6 mg once every two weeks with sotorasib 960 mg daily. Twelve patients (30%) showed confirmed']","{""fieldresult"":[{""name"":""Num participants"",""value"":""40 patients with chemotherapy-refractory KRAS G12C mutated metastatic CRC were given panitumumab."",""source_id"":[0]}]}",39175850,"{""enhanced_ver"":""Panitumumab combined with sotorasib showed an overall response rate of 55% in previously treated KRAS G12C mutated metastatic CRC with a reasonable safety profile (clinical trial; 40 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on the lack of effectiveness; it describes observed effectiveness."",""The sentence is specifically about the effectiveness of Panitumumab on Colorectal cancer."",""The sentence is specific enough for experts, including the safety profile and study type."",""The sentence offers actionable insights for oncologists regarding a combination therapy for KRAS G12C mutated metastatic CRC."",""The study type is a clinical trial with more than one patient, which is level 1.""]}",,999
"Panitumumab shows effectiveness in combination with Sotorasib (PAN-SOT) and in some comparisons, but not all combinations are beneficial.","[2, 3]","['(ENC-CET), and PanitumumabÂ\xa0+Â\xa0Sotorasib (PAN-SOT). The ENC-CET and PAN-SOT targeted strategies also show significant benefits. Pembrolizumab (PEM) monotherapy has advantages over all others except when it is not superior to some targeted strategies.', '(ENC-BIN-CET) shows significant benefits in all comparisons except when compared with ChemotherapyÂ\xa0+Â\xa0CetuximabÂ\xa0+Â\xa0Dalotuzumab (Chemo-CET-DAL), EncorafenibÂ\xa0+Â\xa0Cetuximab (ENC-CET), and PanitumumabÂ\xa0+Â\xa0Sotorasib (PAN-SOT). The ENC-CET and PAN-SOT']","{""fieldresult"":[{""name"":""Panitumumab effectiveness"",""value"":""Panitumumab shows effectiveness in combination with Sotorasib (PAN-SOT) and in some comparisons, but not all combinations are beneficial."",""source_id"":[2,3]}]}",clinical trial,[1],['The efficacy of targeted therapy and/or immunotherapy with or without chemotherapy in patients with colorectal cancer: A network meta-analysis.'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[1]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",39716565,"{""enhanced_ver"":""Panitumumab shows effectiveness in combination with Sotorasib (PAN-SOT) and in some comparisons, but not all combinations are beneficial (clinical trial)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly describes the observed effectiveness."",""The sentence is specifically about the effectiveness of Panitumumab on Colorectal cancer."",""The sentence is specific enough for experts, mentioning the study type and the nuanced effectiveness of the treatment combination."",""The sentence offers actionable insights for oncologists regarding treatment combinations in Colorectal cancer."",""The study type is a clinical trial, which is assigned the highest priority level (1).""]}",,999
"Panitumumab was used as a targeted agent in combination with FOLFOXIRI and oxaliplatin-based CRT, leading to high complete response (CR) rates and improved DFS for CR patients.","[0, 1, 7]","['advanced rectal cancer (LARC). MATERIALS AND METHODS: Patients with histologically confirmed LARC adenocarcinoma were enrolled. Intensified TNT consisted of targeted agent (bevacizumab or panitumumab/cetuximab) plus FOLFOXIRI (5-fluorouracil, leucovorin,', 'targeted agent (bevacizumab or panitumumab/cetuximab) plus FOLFOXIRI (5-fluorouracil, leucovorin, oxaliplatin and irinotecan) induction chemotherapy followed by intensified (oxaliplatin and 5-fluorouracil) chemoradiotherapy (CRT) and surgical resection.', '0.015). CONCLUSION: The addition of a targeted agent to induction FOLFOXIRI and oxaliplatin to 5-fluorouracil-based CRT, with the doses and intensities used in this study, resulted in high CR rates. Patients who achieve a CR demonstrate superior DFS']","{""fieldresult"":[{""name"":""Panitumumab effectiveness"",""value"":""Panitumumab was used as a targeted agent in combination with FOLFOXIRI and oxaliplatin-based CRT, leading to high complete response (CR) rates and improved DFS for CR patients."",""source_id"":[0,1,7]}]}",clinical trial,[0],['AIMS: To analyze the long-term results of a prospective phase II trial testing intensified total neoadjuvant therapy (TNT) in patients with locally advanced rectal cancer (LARC). MATERIALS AND METHODS: Patients with histologically confirmed LARC'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[0]}]}",28 patients with locally advanced rectal cancer (LARC) were enrolled in the study.,"[2, 3]","['the trial. Survival outcomes were calculated using the Kaplan-Meier method and curves were compared by the log-rank test. RESULTS: Between October 2015 and September 2019, 28 LARC patients were enrolled. Follow-up data were available for all included', 'and September 2019, 28 LARC patients were enrolled. Follow-up data were available for all included patients. In total, 11 (39.3%) patients had a complete response (CR). At 6.3 years (median follow-up), 5-year overall survival (OS) and DFS were 74.6% and']","{""fieldresult"":[{""name"":""Num participants"",""value"":""28 patients with locally advanced rectal cancer (LARC) were enrolled in the study."",""source_id"":[2,3]}]}",39667262,"{""enhanced_ver"":""Panitumumab was used as a targeted agent in combination with FOLFOXIRI and oxaliplatin-based CRT, leading to high complete response (CR) rates and improved DFS for CR patients (clinical trial; 28 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on the lack of effectiveness; it describes observed outcomes."",""The sentence specifically discusses the effectiveness of Panitumumab on Colorectal cancer."",""The sentence is detailed enough for experts, including study type and number of patients."",""The sentence provides actionable insights for oncologists regarding treatment outcomes in Colorectal cancer."",""The study is a clinical trial with 28 patients, which is level 1 priority.""]}",,999
The combination of sotorasib and panitumumab achieved a complete metabolic response and 12 months of progression-free survival in a heavily treated KRAS G12C mutant mCRC patient.,"[1, 2, 6]","['we present a heavily pretreated mCRC case with a progression-free survival of 12 months with sotorasib and panitumumab. In 2017, a 27-year-old male presented with abdominal pain and received a diagnosis of stage IIIC KRAS G12C mutant CRC. Following', 'resulted in partial responses. Upon disease progression, sotorasib and panitumumab were initiated, achieving a complete metabolic response. After 12 months of progression-free survival, oligoprogressive liver lesions were surgically resected. This case', 'confer resistance to anti-EGFR treatments. Promising inhibitors such as sotorasib and adagrasib targeting KRASG12C mutations have demonstrated efficacy. Herein, we present a heavily pretreated mCRC case with a progression-free survival of 12 months with']","{""fieldresult"":[{""name"":""Panitumumab effectiveness"",""value"":""The combination of sotorasib and panitumumab achieved a complete metabolic response and 12 months of progression-free survival in a heavily treated KRAS G12C mutant mCRC patient."",""source_id"":[1,2,6]}]}",clinical trial,"[0, 1, 2]","['Twelve-month progression-free survival with sotorasib and panitumumab in KRAS G12C mutant metastatic colorectal cancer.', 'of progression-free survival, oligoprogressive liver lesions were surgically resected. This case highlights the remarkable outcome of a heavily treated KRAS G12C mutant mCRC patient. The combination of sotorasib and panitumumab, along with', 'resulted in partial responses. Upon disease progression, sotorasib and panitumumab were initiated, achieving a complete metabolic response. After 12 months of progression-free survival, oligoprogressive liver lesions were surgically resected. This case']","{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[0,1,2]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",38451823,"{""enhanced_ver"":""The combination of sotorasib and panitumumab achieved a complete metabolic response and 12 months of progression-free survival in a heavily treated KRAS G12C mutant mCRC patient (clinical trial; 1 patient)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""2""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly describes the observed outcome."",""The sentence is specifically about the effectiveness of panitumumab on colorectal cancer, not another condition."",""The sentence is specific enough for experts, including the study type and number of patients."",""The sentence offers actionable insights for oncologists regarding the use of panitumumab in heavily treated KRAS G12C mutant mCRC patients."",""The study type is a clinical trial with 1 patient, which corresponds to priority level 2.""]}",,999
Panitumumab was associated with prolonged overall survival in patients with RAS wild-type metastatic colorectal cancer when combined with chemotherapy.,"[0, 1, 5]","['hyperselection) was associated with prolonged overall survival after first-line panitumumab with chemotherapy in patients with RAS wild-type metastatic colorectal cancer.', 'colorectal cancer (mCRC). The phase 3 PARADIGM trial (nâ\x80\x89=â\x80\x89802) demonstrated longer overall survival with first-line anti-EGFR (panitumumab) versus antivascular endothelial growth factor (bevacizumab) plus modified FOLFOX6 in patients with RAS', 'factor (VEGF) antibody (bevacizumab). The phase 3 PARADIGM trial (NCT02394795) in patients with unresectable RAS WT mCRC demonstrated longer overall survival (OS) with first-line panitumumab plus modified 5-fluorouracil, l-leucovorin, oxaliplatin']","{""fieldresult"":[{""name"":""Panitumumab effectiveness"",""value"":""Panitumumab was associated with prolonged overall survival in patients with RAS wild-type metastatic colorectal cancer when combined with chemotherapy."",""source_id"":[0,1,5]}]}",clinical trial,[0],"['The PARADIGM study (NCT02394795) was a randomized, open-label, phase 3 trial conducted at 197 sites in Japan between May 2015 and January 2022. The study enrolled patients (age 20â\x80\x9379 years) with RAS WT unresectable adenocarcinoma originating in the']","{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[0]}]}",802 patients with colorectal cancer (mCRC) were treated with panitumumab in the study.,[1],['colorectal cancer (mCRC). The phase 3 PARADIGM trial (nâ\x80\x89=â\x80\x89802) demonstrated longer overall survival with first-line anti-EGFR (panitumumab) versus antivascular endothelial growth factor (bevacizumab) plus modified FOLFOX6 in patients with RAS'],"{""fieldresult"":[{""name"":""Num participants"",""value"":""802 patients with colorectal cancer (mCRC) were treated with panitumumab in the study."",""source_id"":[1]}]}",38347302,"{""enhanced_ver"":""Panitumumab was associated with prolonged overall survival in patients with RAS wild-type metastatic colorectal cancer when combined with chemotherapy (clinical trial; 802 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not describe a lack of effectiveness; it clearly states the observed effectiveness of panitumumab."",""The sentence specifically discusses the effectiveness of panitumumab on colorectal cancer, not another condition."",""The sentence is detailed enough for experts, including the study type and number of patients."",""The sentence provides actionable insights for oncologists regarding the use of panitumumab in RAS wild-type metastatic colorectal cancer."",""The study is a clinical trial with more than one patient, which is the highest priority level.""]}",,999
FBXW7 mutant metastatic CRC patients fared worse than WT patients when treated with Panitumumab.,"[0, 7, 9]","['When we analyzed a clinical cohort, we found that FBXW7 mutant metastatic CRC fared worse than WT patients when treated with the EGFR inhibitor Panitumumab or Cetuximab, both in terms of the percentage of patients who progressed through the disease and', 'or Cetuximab, both in terms of the percentage of patients who progressed through the disease and the time needed for progression. Previous studies have hinted at the presence of FBXW7 mutations among tumor patients resistant to anti-EGFR therapies, and', 'when mutated reduce EGFR degradation. FBXW7 mutations contribute to tumorigenesis by reducing EGF dependency. Finally, FBXW7 mutant metastatic colorectal cancer patients showed faster disease progression when treated with anti-EGFR-targeted therapies,']","{""fieldresult"":[{""name"":""Panitumumab effectiveness"",""value"":""FBXW7 mutant metastatic CRC patients fared worse than WT patients when treated with Panitumumab."",""source_id"":[0,7,9]}]}",in vitro,"[0, 2, 3]","['colon organoids. Previous studies have relied on the use of immortalized, carcinoma-derived cell lines which have led to the identification of a plethora of targets. We opted for a near-physiological human experimental platform: wild-type human colon', 'Here, we use a combined approach based on targeted mutagenesis, proteomic, and transcriptomic analyses to investigate the effects of FBXW7 mutations in human colon organoids. Previous studies have relied on the use of immortalized, carcinoma-derived cell', 'between FBXW7 mutations and poorer clinical outcome. Wild-type human colon organoids (hCOs) provide a robust model system to study the impact of cancer-associated mutations in a human-relevant settings. When combined with genome editing techniques,']","{""fieldresult"":[{""name"":""Type of study"",""value"":""in vitro"",""source_id"":[0,2,3]}]}",62 patients with Colorectal cancer treated with Panitumumab or Cetuximab,"[0, 1, 8]","['11 FBXW7 mutant and 51 FBXW7 WT patients treated with Panitumumab or Cetuximab, two EGF-competing antibodies, and compared their response to therapy (Dataset S7).', 'To better understand the impact of these mutations on the response to EGFR-targeted therapy of metastatic CRC patients, we collected response data from 11 FBXW7 mutant and 51 FBXW7 WT patients treated with Panitumumab or Cetuximab, two EGF-competing', 'or Cetuximab, both in terms of the percentage of patients who progressed through the disease and the time needed for progression. Previous studies have hinted at the presence of FBXW7 mutations among tumor patients resistant to anti-EGFR therapies, and']","{""fieldresult"":[{""name"":""Num participants"",""value"":""62 patients with Colorectal cancer treated with Panitumumab or Cetuximab"",""source_id"":[0,1,8]}]}",38483988,"{""enhanced_ver"":""FBXW7 mutant metastatic CRC patients fared worse than WT patients when treated with Panitumumab (in vitro; 62 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on the lack of effectiveness description; it directly describes the observed outcome."",""The sentence is specifically about the effectiveness of Panitumumab on Colorectal cancer, not another condition."",""The sentence is specific enough for experts, mentioning the study type and number of patients, and includes actionable insights about FBXW7 mutations affecting treatment outcomes."",""The sentence offers actionable insights for oncologists regarding the impact of FBXW7 mutations on Panitumumab response in CRC patients, even though it is preclinical."",""The study type is in vitro, which corresponds to priority level 3.""]}",,999
"Panitumumab is used in combination with anti-angiogenic agents for RAS wild-type advanced CRC patients, but specific efficacy outcomes are not detailed in the report.","[0, 5, 7]","['CRC patients (development cohort: 420 patients from two centers; external validation cohort: 180 patients from an independent center) treated with EGFR inhibitors (cetuximab/panitumumab) plus anti-angiogenic agents (bevacizumab/fruquintinib/regorafenib)', 'Efficacy of EGFR inhibitor-anti-angiogenic combination therapy varies substantially in RAS wild-type advanced colorectal cancer (CRC), and current clinical guidelines lack individualized predictive tools to identify optimal candidates and tailor regimens.', 'wild-type advanced CRC patients receiving EGFR inhibitor-anti-angiogenic combination therapy, and provide preliminary reference for clinical regimen adjustment of high-risk patients. As a supplementary tool to current clinical guidelines, the model can']","{""fieldresult"":[{""name"":""Panitumumab effectiveness"",""value"":""Panitumumab is used in combination with anti-angiogenic agents for RAS wild-type advanced CRC patients, but specific efficacy outcomes are not detailed in the report."",""source_id"":[0,5,7]}]}",retrospective multi-center study,[1],['multi-dimensional efficacy prediction model to address this unmet clinical need. This retrospective multi-center study included 600 RAS wild-type advanced CRC patients (development cohort: 420 patients from two centers; external validation cohort: 180'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""retrospective multi-center study"",""source_id"":[1]}]}",420 patients from two centers in the development cohort,"[0, 1, 2]","['CRC patients (development cohort: 420 patients from two centers; external validation cohort: 180 patients from an independent center) treated with EGFR inhibitors (cetuximab/panitumumab) plus anti-angiogenic agents (bevacizumab/fruquintinib/regorafenib)', 'multi-dimensional efficacy prediction model to address this unmet clinical need. This retrospective multi-center study included 600 RAS wild-type advanced CRC patients (development cohort: 420 patients from two centers; external validation cohort: 180', '(cetuximab/panitumumab) plus anti-angiogenic agents (bevacizumab/fruquintinib/regorafenib) between 2018 and 2021. Candidate variables encompassed clinical, laboratory, radiomic, and biological indices. Radiomic features were screened via']","{""fieldresult"":[{""name"":""Num participants"",""value"":""420 patients from two centers in the development cohort"",""source_id"":[0,1,2]}]}",41876642,"{""enhanced_ver"":""Panitumumab is used in combination with anti-angiogenic agents for RAS wild-type advanced CRC patients, but specific efficacy outcomes are not detailed in the report (retrospective multi-center study; 420 patients from two centers)."",""evaluations"":[""YES"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence is a meta comment on how the effectiveness was not described in the text, as it explicitly states that specific efficacy outcomes are not detailed."",""The sentence is about the effectiveness of Panitumumab on Colorectal cancer and does not mention another condition."",""The sentence is specific enough for experts, mentioning the study type and number of patients, and provides context about the treatment combination."",""The sentence offers actionable insights for practicing oncologists by highlighting the use of Panitumumab in combination with anti-angiogenic agents, even though specific efficacy outcomes are not detailed."",""The study type is a retrospective multi-center study with 420 patients, which falls under level 1 priority.""]}",,999
